population,characteristics_code,subcategory_code,domain_label,ucc,item_text,display_level,series_id,aggregate_expenditure,mean_expenditure,rse,high_rse
All Consumer Units,01,ALCBEVG,Alcoholic beverages,200119,"Beer, ale, and other malt beverage",2,CXU200119LB0101M,12193.0,90.0,5.36,false
All Consumer Units,01,ALCBEVG,Alcoholic beverages,200219,Distilled spirits,2,CXU200219LB0101M,8281.0,61.0,8.46,false
All Consumer Units,01,ALCBEVG,Alcoholic beverages,200310,Wine,2,CXU200310LB0101M,15888.0,117.0,8.15,false
All Consumer Units,01,ALCBEVG,Alcoholic beverages,200900,Alcoholic beverages purchased on trips,2,CXU200900LB0101M,12919.0,95.0,5.16,false
All Consumer Units,01,ALCBEVG,Alcoholic beverages,790420,"Alcoholic beverages at restaurants, taverns",2,CXU790420LB0101M,37731.0,279.0,4.57,false
All Consumer Units,01,FOODTOTL,Food,010119,Flour and prepared flour mixes,2,CXU010119LB0101M,4181.0,31.0,5.01,false
All Consumer Units,01,FOODTOTL,Food,010210,"Cereal, breakfast, and granola bars",4,CXU010210LB0101M,13691.0,101.0,3.23,false
All Consumer Units,01,FOODTOTL,Food,010310,Rice,4,CXU010310LB0101M,6332.0,47.0,4.3,false
All Consumer Units,01,FOODTOTL,Food,010320,"Pasta, cornmeal, and other cereal products",4,CXU010320LB0101M,8245.0,61.0,3.05,false
All Consumer Units,01,FOODTOTL,Food,020219,Bread,2,CXU020219LB0101M,17821.0,132.0,2.68,false
All Consumer Units,01,FOODTOTL,Food,020310,Biscuits and rolls,5,CXU020310LB0101M,11963.0,88.0,3.01,false
All Consumer Units,01,FOODTOTL,Food,020410,Cakes and cupcakes,5,CXU020410LB0101M,8679.0,64.0,5.04,false
All Consumer Units,01,FOODTOTL,Food,020510,Cookies,5,CXU020510LB0101M,12004.0,89.0,4.11,false
All Consumer Units,01,FOODTOTL,Food,020610,Crackers,5,CXU020610LB0101M,7146.0,53.0,3.06,false
All Consumer Units,01,FOODTOTL,Food,020620,Bread and cracker products,5,CXU020620LB0101M,1033.0,8.0,6.04,false
All Consumer Units,01,FOODTOTL,Food,020710,"Sweetrolls, coffee cakes, and doughnuts",5,CXU020710LB0101M,5161.0,38.0,3.73,false
All Consumer Units,01,FOODTOTL,Food,020810,Frozen and refrigerated bakery products,4,CXU020810LB0101M,6223.0,46.0,3.74,false
All Consumer Units,01,FOODTOTL,Food,020820,"Pies, tarts, and turnovers",5,CXU020820LB0101M,2881.0,21.0,13.06,false
All Consumer Units,01,FOODTOTL,Food,030110,Ground beef,4,CXU030110LB0101M,20755.0,153.0,5.06,false
All Consumer Units,01,FOODTOTL,Food,030219,Roasts,2,CXU030219LB0101M,7613.0,56.0,7.89,false
All Consumer Units,01,FOODTOTL,Food,030519,Steak,2,CXU030519LB0101M,20365.0,151.0,4.63,false
All Consumer Units,01,FOODTOTL,Food,030810,Other beef,4,CXU030810LB0101M,6509.0,48.0,9.4,false
All Consumer Units,01,FOODTOTL,Food,040119,"Bacon, breakfast sausage, and related products",2,CXU040119LB0101M,13639.0,101.0,2.27,false
All Consumer Units,01,FOODTOTL,Food,040210,Pork chops,4,CXU040210LB0101M,4752.0,35.0,6.82,false
All Consumer Units,01,FOODTOTL,Food,040319,Ham,2,CXU040319LB0101M,6992.0,52.0,5.07,false
All Consumer Units,01,FOODTOTL,Food,040410,Other pork,4,CXU040410LB0101M,9751.0,72.0,4.93,false
All Consumer Units,01,FOODTOTL,Food,050110,Frankfurters,4,CXU050110LB0101M,3361.0,25.0,5.79,false
All Consumer Units,01,FOODTOTL,Food,050319,Lunchmeats,2,CXU050319LB0101M,14115.0,104.0,3.23,false
All Consumer Units,01,FOODTOTL,Food,050419,"Lamb, organ meat, and game",2,CXU050419LB0101M,2799.0,21.0,10.71,false
All Consumer Units,01,FOODTOTL,Food,060119,Chicken,2,CXU060119LB0101M,28910.0,214.0,3.12,false
All Consumer Units,01,FOODTOTL,Food,060310,Other poultry,4,CXU060310LB0101M,7270.0,54.0,5.39,false
All Consumer Units,01,FOODTOTL,Food,070119,Processed fish and seafood,2,CXU070119LB0101M,14335.0,106.0,4.19,false
