ucc,ucc_title,subcategory_code,domain_label,reason,preliminary_status,destination_elis,destination_nodes,all_cu_aggregate_expenditure,resolution_note
190903,Food on out of town trips,FOODTOTL,Food,NO_CONCORDANCE,UNRESOLVED,,,65028.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
190904,Food prepared by consumer unit on out of town trips,FOODTOTL,Food,NO_CONCORDANCE,UNRESOLVED,,,12770.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
200900,Alcoholic beverages purchased on trips,ALCBEVG,Alcoholic beverages,NO_CONCORDANCE,UNRESOLVED,,,12919.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
210901,Ground rent,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,10318.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
210902,Ground rent,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,702.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220122,Homeowners insurance,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,1935.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220211,Property taxes,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,371669.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220212,Property taxes,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,15769.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220311,Mortgage interest,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,471125.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220312,Mortgage interest,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,9623.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220313,"Interest paid, home equity loan",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,6130.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220314,"Interest paid, home equity loan",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,4.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220901,Parking,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,2256.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
220902,Parking,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,410.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230113,Plumbing and water heating,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,24576.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230114,"Heat, a/c, and electrical work",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,60914.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230115,Roofing and gutters,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,50846.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,2827.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,146.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230151,Other repair and maintenance services,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,62743.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230152,Repair and remodeling services,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,7151.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230901,Property management,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,17688.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
230902,Property management,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,1665.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240113,"Paints, wallpaper, and supplies",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,87.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240123,Tools and equipment for painting and wallpapering,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,9.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240213,Materials and equipment for roofs and gutters,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,3440.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,129.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,9.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240313,Plumbing supplies and equipment,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,34.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
240323,"Electrical supplies, heating, and cooling equipment",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,6.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
270104,Phone cards,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
270903,Septic tank cleaning (owned vacation),HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
270904,Septic tank cleaning (rented vacation),HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
270906,Septic tank cleaning (renter),HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,31.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
300900,Miscellaneous household appliances,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,1378.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
320613,"Material for insulation, other maintenance, and repair",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,67.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
320626,"Flooring installation, repair, and replacement",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,155.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
320633,Materials for landscaping maintenance,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
340912,Management and upkeep services for security,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,261.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
340913,Repair of miscellaneous household equipment and furnishings,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,341.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
340915,Home security system service fees,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,6028.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
450351,Extra fees for car/truck lease,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,200.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
470311,Electric vehicle charging,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,1352.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
510110,Automobile finance charges,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,12858.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
510901,Truck finance charges,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,40315.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
510902,Motorcycle and plane finance charges,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,471.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
520110,State and local vehicle registration,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,20114.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
790690,Construction materials for jobs not started,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,386.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
830111,Late fee mortgage pay (owned home),HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,21.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
830112,Late fee mortgage pay (owned vacation),HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
850300,Other vehicle finance charges,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,3069.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
880110,"Interest paid, home equity line of credit",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,17641.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
880310,"Interest paid, home equity line of credit",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,151.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
950024,Vehicle personal property taxes,TRANS,Transportation,NO_CONCORDANCE,UNRESOLVED,,,8620.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
990900,"Rental and installation of dishwashers, range hoods, and garbage disposals",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
990920,"Materials for additions, finishing basements, and remodeling rooms",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,255.0,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
990930,"Materials to finish basements, remodel rooms, or build patios or walkways",HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
990940,Material for finishing basements and remodeling rooms,HOUSING,Housing,NO_CONCORDANCE,UNRESOLVED,,,,No row in the pinned 2024 UCC-ELI concordance. Preliminary UNRESOLVED. Final classification as TRANSFORMED or OUT_OF_SCOPE requires CE/CPI scope rules that are out of scope for Milestone 1; it must not be assumed here.
