population,mapping_status,ucc_count,aggregate_expenditure,expenditure_share_pct
All Consumer Units,DIRECT,274,4880890.0,71.39436438421887
All Consumer Units,MULTI_SAME_NODE,5,628988.0,9.200411905472375
All Consumer Units,UNRESOLVED,58,1326642.0,19.405223710308753
Q1,DIRECT,274,548150.0,79.57211209048997
Q1,MULTI_SAME_NODE,5,60463.0,8.777102277346154
Q1,UNRESOLVED,58,80259.0,11.650785632163885
Q2,DIRECT,274,725238.0,75.54948117143479
Q2,MULTI_SAME_NODE,5,97738.0,10.181561350527266
Q2,UNRESOLVED,58,136975.0,14.268957478037942
Q3,DIRECT,274,885505.0,72.3526278031889
Q3,MULTI_SAME_NODE,5,124797.0,10.19688301246697
Q3,UNRESOLVED,58,213572.0,17.45048918434414
Q4,DIRECT,274,1105445.0,70.2799768074074
Q4,MULTI_SAME_NODE,5,156875.0,9.973514160959644
Q4,UNRESOLVED,58,310596.0,19.746509031632968
Q5,DIRECT,274,1616554.0,67.61241416981714
Q5,MULTI_SAME_NODE,5,189117.0,7.909823569489982
Q5,UNRESOLVED,58,585242.0,24.47776226069288
