population,subcategory_code,domain_label,parent_series_id,active_ucc_count,missing_aggregate_count,sum_active_ucc_aggregate,published_parent_aggregate,absolute_difference,percent_difference,rounding_bound,within_rounding
All Consumer Units,FOODTOTL,Food,CXUFOODTOTLLB0101M,80,0,1376346.0,1376343.0,3.0,0.00021796892199110252,40.5,true
All Consumer Units,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0101M,5,0,87012.0,87011.0,1.0,0.0011492799760949766,3.0,true
All Consumer Units,HOUSING,Housing,CXUHOUSINGLB0101M,200,16,3565081.0,3565084.0,-3.0,-8.414948988579232e-05,92.5,true
All Consumer Units,TRANS,Transportation,CXUTRANSLB0101M,52,3,1808081.0,1808083.0,-2.0,-0.00011061439104288908,25.0,true
Q1,FOODTOTL,Food,CXUFOODTOTLLB0102M,80,0,148595.0,148597.0,-2.0,-0.0013459221922380667,40.5,true
Q1,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0102M,5,0,6602.0,6603.0,-1.0,-0.015144631228229592,3.0,true
Q1,HOUSING,Housing,CXUHOUSINGLB0102M,200,31,395123.0,395120.0,3.0,0.0007592630087062158,85.0,true
Q1,TRANS,Transportation,CXUTRANSLB0102M,52,7,138552.0,138552.0,0.0,0.0,23.0,true
Q2,FOODTOTL,Food,CXUFOODTOTLLB0103M,80,0,200387.0,200392.0,-5.0,-0.0024951095852129824,40.5,true
Q2,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0103M,5,0,9263.0,9264.0,-1.0,-0.01079447322970639,3.0,true
Q2,HOUSING,Housing,CXUHOUSINGLB0103M,200,24,521120.0,521115.0,5.0,0.0009594811126142982,88.5,true
Q2,TRANS,Transportation,CXUTRANSLB0103M,52,7,229181.0,229180.0,1.0,0.0004363382494109434,23.0,true
Q3,FOODTOTL,Food,CXUFOODTOTLLB0104M,80,0,246264.0,246260.0,4.0,0.0016242995208316413,40.5,true
Q3,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0104M,5,0,13651.0,13651.0,0.0,0.0,3.0,true
Q3,HOUSING,Housing,CXUHOUSINGLB0104M,200,26,649688.0,649689.0,-1.0,-0.00015391979854976765,87.5,true
Q3,TRANS,Transportation,CXUTRANSLB0104M,52,7,314271.0,314268.0,3.0,0.0009545992592309749,23.0,true
Q4,FOODTOTL,Food,CXUFOODTOTLLB0105M,80,0,320501.0,320499.0,2.0,0.0006240269080402747,40.5,true
Q4,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0105M,5,0,19656.0,19656.0,0.0,0.0,3.0,true
Q4,HOUSING,Housing,CXUHOUSINGLB0105M,200,26,798786.0,798786.0,0.0,0.0,87.5,true
Q4,TRANS,Transportation,CXUTRANSLB0105M,52,4,433973.0,433974.0,-1.0,-0.0002304285510191855,24.5,true
Q5,FOODTOTL,Food,CXUFOODTOTLLB0106M,80,0,460596.0,460596.0,0.0,0.0,40.5,true
Q5,ALCBEVG,Alcoholic beverages,CXUALCBEVGLB0106M,5,0,37837.0,37837.0,0.0,0.0,3.0,true
Q5,HOUSING,Housing,CXUHOUSINGLB0106M,200,22,1200370.0,1200374.0,-4.0,-0.00033322947681305995,89.5,true
Q5,TRANS,Transportation,CXUTRANSLB0106M,52,3,692110.0,692108.0,2.0,0.0002889722413264982,25.0,true
