population,subcategory_code,domain_label,active_ucc_count,high_rse_ucc_count,missing_rse_count,missing_aggregate_count,total_aggregate_expenditure,high_rse_aggregate_expenditure,high_rse_expenditure_share_pct
All Consumer Units,ALCBEVG,Alcoholic beverages,5,0,0,0,87012.0,0,0.0
All Consumer Units,FOODTOTL,Food,80,0,0,0,1376346.0,0,0.0
All Consumer Units,HOUSING,Housing,200,55,16,16,3565081.0,53999.0,1.5146640426963651
All Consumer Units,TRANS,Transportation,52,10,3,3,1808081.0,12788.0,0.7072691986697499
All Consumer Units,ALL_DOMAINS,ALL_DOMAINS,337,65,19,19,6836520.0,66787.0,0.9769151556639928
Q1,ALCBEVG,Alcoholic beverages,5,1,0,0,6602.0,576.0,8.724628900333233
Q1,FOODTOTL,Food,80,7,0,0,148595.0,2560.0,1.7228035936606212
Q1,HOUSING,Housing,200,112,31,31,395123.0,41065.0,10.392966240892077
Q1,TRANS,Transportation,52,21,7,7,138552.0,34793.0,25.111871355159074
Q1,ALL_DOMAINS,ALL_DOMAINS,337,141,38,38,688872.0,78994.0,11.467152097922401
Q2,ALCBEVG,Alcoholic beverages,5,0,0,0,9263.0,0,0.0
Q2,FOODTOTL,Food,80,5,0,0,200387.0,3452.0,1.7226666400515003
Q2,HOUSING,Housing,200,107,24,24,521120.0,45610.0,8.75230273257599
Q2,TRANS,Transportation,52,18,7,7,229181.0,45087.0,19.67309680994498
Q2,ALL_DOMAINS,ALL_DOMAINS,337,130,31,31,959951.0,94149.0,9.807688100746809
Q3,ALCBEVG,Alcoholic beverages,5,0,0,0,13651.0,0,0.0
Q3,FOODTOTL,Food,80,3,0,0,246264.0,3221.0,1.307945944189975
Q3,HOUSING,Housing,200,102,26,26,649688.0,74121.0,11.408706948566081
Q3,TRANS,Transportation,52,15,7,7,314271.0,19710.0,6.271657263953721
Q3,ALL_DOMAINS,ALL_DOMAINS,337,120,33,33,1223874.0,97052.0,7.929901280687391
Q4,ALCBEVG,Alcoholic beverages,5,0,0,0,19656.0,0,0.0
Q4,FOODTOTL,Food,80,4,0,0,320501.0,5505.0,1.7176233459489987
Q4,HOUSING,Housing,200,93,26,26,798786.0,68240.0,8.542963947790772
Q4,TRANS,Transportation,52,18,4,4,433973.0,28781.0,6.631979408857233
Q4,ALL_DOMAINS,ALL_DOMAINS,337,115,30,30,1572916.0,102526.0,6.518212034209074
Q5,ALCBEVG,Alcoholic beverages,5,0,0,0,37837.0,0,0.0
Q5,FOODTOTL,Food,80,4,0,0,460596.0,5777.0,1.2542445006035658
Q5,HOUSING,Housing,200,84,22,22,1200370.0,51163.0,4.262269133683781
Q5,TRANS,Transportation,52,15,3,3,692110.0,9877.0,1.4270852899105633
Q5,ALL_DOMAINS,ALL_DOMAINS,337,103,25,25,2390913.0,66817.0,2.794622807270695
