ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
010119,Flour And Prepared Flour Mixes,FOODTOTL,Food,DIRECT,FOOD,1,FA011,FOOD,,false
010210,"Cereal, Breakfast, & Granola Bars",FOODTOTL,Food,DIRECT,FOOD,1,FA021,FOOD,,false
010310,Rice,FOODTOTL,Food,DIRECT,FOOD,1,FA031,FOOD,,false
010320,Pasta Cornmeal Oth Cereal Prods,FOODTOTL,Food,DIRECT,FOOD,1,FA031,FOOD,,false
020219,Bread,FOODTOTL,Food,DIRECT,FOOD,1,FB011,FOOD,,false
020310,"Fresh Biscuits, Rolls, Muffins",FOODTOTL,Food,DIRECT,FOOD,1,FB021,FOOD,,false
020410,Cakes And Cupcakes,FOODTOTL,Food,DIRECT,FOOD,1,FB031,FOOD,,false
020510,Cookies,FOODTOTL,Food,DIRECT,FOOD,1,FB032,FOOD,,false
020610,Crackers,FOODTOTL,Food,DIRECT,FOOD,1,FB041,FOOD,,false
020620,Bread And Cracker Products,FOODTOTL,Food,DIRECT,FOOD,1,FB041,FOOD,,false
020710,"Doughnuts,Sweetrolls,Coffecake",FOODTOTL,Food,DIRECT,FOOD,1,FB042,FOOD,,false
020810,Frozen & Refrig. Bakery Prod.,FOODTOTL,Food,DIRECT,FOOD,1,FB043,FOOD,,false
020820,"Fresh Pies, Tarts, Turnovers",FOODTOTL,Food,DIRECT,FOOD,1,FB044,FOOD,,false
030110,Ground Beef Exclude Canned,FOODTOTL,Food,DIRECT,FOOD,1,FC011,FOOD,,false
030219,Uncooked Beef Roasts,FOODTOTL,Food,DIRECT,FOOD,1,FC021,FOOD,,false
030519,Uncooked Beef Steaks,FOODTOTL,Food,DIRECT,FOOD,1,FC031,FOOD,,false
030810,Other Beef (Exclude Canned),FOODTOTL,Food,DIRECT,FOOD,1,FC041,FOOD,,false
040119,"Bacon, Breakfast Sausage And Rela",FOODTOTL,Food,DIRECT,FOOD,1,FD011,FOOD,,false
040210,Pork Chops,FOODTOTL,Food,DIRECT,FOOD,1,FD031,FOOD,,false
