dmi_node,population,ucc_count,source_expenditure,effective_retained,effective_transformed,effective_replacement,excluded_effective,pending,open,withheld,effective_track_a_basis,cells_without_amount
ALCOHOLIC_BEVERAGES,ALL_CU,4,74093.000000,74093.000000,,,,,,,74093.000000,0
ALCOHOLIC_BEVERAGES,Q1,4,5991.000000,5991.000000,,,,,,,5991.000000,0
ALCOHOLIC_BEVERAGES,Q2,4,8403.000000,8403.000000,,,,,,,8403.000000,0
ALCOHOLIC_BEVERAGES,Q3,4,11841.000000,11841.000000,,,,,,,11841.000000,0
ALCOHOLIC_BEVERAGES,Q4,4,16263.000000,16263.000000,,,,,,,16263.000000,0
ALCOHOLIC_BEVERAGES,Q5,4,31593.000000,31593.000000,,,,,,,31593.000000,0
EDUCATION_COMMUNICATION,ALL_CU,16,412574.000000,412574.000000,,,,,,,412574.000000,0
EDUCATION_COMMUNICATION,Q1,16,40602.000000,40602.000000,,,,,,,40602.000000,1
EDUCATION_COMMUNICATION,Q2,16,57353.000000,57353.000000,,,,,,,57353.000000,0
EDUCATION_COMMUNICATION,Q3,16,74587.000000,74587.000000,,,,,,,74587.000000,0
EDUCATION_COMMUNICATION,Q4,16,97171.000000,97171.000000,,,,,,,97171.000000,0
EDUCATION_COMMUNICATION,Q5,16,142864.000000,142864.000000,,,,,,,142864.000000,0
FOOD,ALL_CU,78,1298548.000000,1298548.000000,,,,,,,1298548.000000,0
FOOD,Q1,78,144085.000000,144085.000000,,,,,,,144085.000000,0
FOOD,Q2,78,194026.000000,194026.000000,,,,,,,194026.000000,0
FOOD,Q3,78,234596.000000,234596.000000,,,,,,,234596.000000,0
FOOD,Q4,78,301464.000000,301464.000000,,,,,,,301464.000000,0
FOOD,Q5,78,424375.000000,424375.000000,,,,,,,424375.000000,0
HOUSEHOLD_ENERGY,ALL_CU,20,332718.000000,332718.000000,,,,,,,332718.000000,4
HOUSEHOLD_ENERGY,Q1,20,44153.000000,44153.000000,,,,,,,44153.000000,5
HOUSEHOLD_ENERGY,Q2,20,59574.000000,59574.000000,,,,,,,59574.000000,5
HOUSEHOLD_ENERGY,Q3,20,63814.000000,63814.000000,,,,,,,63814.000000,5
HOUSEHOLD_ENERGY,Q4,20,73899.000000,73899.000000,,,,,,,73899.000000,6
HOUSEHOLD_ENERGY,Q5,20,91277.000000,91277.000000,,,,,,,91277.000000,4
HOUSEHOLD_FURNISHINGS_OPERATIONS,ALL_CU,95,528979.000000,528979.000000,,,,,,,528979.000000,2
HOUSEHOLD_FURNISHINGS_OPERATIONS,Q1,95,48148.000000,48148.000000,,,,,,,48148.000000,4
HOUSEHOLD_FURNISHINGS_OPERATIONS,Q2,95,68548.000000,68548.000000,,,,,,,68548.000000,3
HOUSEHOLD_FURNISHINGS_OPERATIONS,Q3,95,83318.000000,83318.000000,,,,,,,83318.000000,3
HOUSEHOLD_FURNISHINGS_OPERATIONS,Q4,95,124751.000000,124751.000000,,,,,,,124751.000000,5
HOUSEHOLD_FURNISHINGS_OPERATIONS,Q5,95,204218.000000,204218.000000,,,,,,,204218.000000,5
MEDICAL_CARE,ALL_CU,2,10409.000000,10409.000000,,,,,,,10409.000000,0
MEDICAL_CARE,Q1,2,3783.000000,3783.000000,,,,,,,3783.000000,0
MEDICAL_CARE,Q2,2,1145.000000,1145.000000,,,,,,,1145.000000,1
MEDICAL_CARE,Q3,2,2397.000000,2397.000000,,,,,,,2397.000000,0
MEDICAL_CARE,Q4,2,744.000000,744.000000,,,,,,,744.000000,1
MEDICAL_CARE,Q5,2,2340.000000,2340.000000,,,,,,,2340.000000,0
MOTOR_FUEL,ALL_CU,3,357741.000000,357741.000000,,,,,,,357741.000000,0
MOTOR_FUEL,Q1,3,34258.000000,34258.000000,,,,,,,34258.000000,0
MOTOR_FUEL,Q2,3,55102.000000,55102.000000,,,,,,,55102.000000,0
MOTOR_FUEL,Q3,3,71183.000000,71183.000000,,,,,,,71183.000000,0
MOTOR_FUEL,Q4,3,90964.000000,90964.000000,,,,,,,90964.000000,0
MOTOR_FUEL,Q5,3,106236.000000,106236.000000,,,,,,,106236.000000,0
OTHER_GOODS_SERVICES,ALL_CU,5,19562.000000,19562.000000,,,,,,,19562.000000,2
OTHER_GOODS_SERVICES,Q1,5,1373.000000,1373.000000,,,,,,,1373.000000,2
OTHER_GOODS_SERVICES,Q2,5,1954.000000,1954.000000,,,,,,,1954.000000,2
OTHER_GOODS_SERVICES,Q3,5,3021.000000,3021.000000,,,,,,,3021.000000,2
OTHER_GOODS_SERVICES,Q4,5,4120.000000,4120.000000,,,,,,,4120.000000,2
OTHER_GOODS_SERVICES,Q5,5,9095.000000,9095.000000,,,,,,,9095.000000,2
RECREATION,ALL_CU,1,671.000000,671.000000,,,,,,,671.000000,0
RECREATION,Q1,1,15.000000,15.000000,,,,,,,15.000000,0
RECREATION,Q2,1,57.000000,57.000000,,,,,,,57.000000,0
RECREATION,Q3,1,121.000000,121.000000,,,,,,,121.000000,0
RECREATION,Q4,1,275.000000,275.000000,,,,,,,275.000000,0
RECREATION,Q5,1,202.000000,202.000000,,,,,,,202.000000,0
SHELTER,ALL_CU,10,1000279.000000,1000279.000000,,2493830.812994,,102234.815688,,665.471372,3494109.812994,0
SHELTER,Q1,10,174389.000000,174389.000000,,238213.442108,,5644.978548,,,412602.442108,0
SHELTER,Q2,10,195158.000000,195158.000000,,348688.881735,,11114.301339,,9.807815,543846.881735,0
SHELTER,Q3,10,216534.000000,216534.000000,,409607.013756,,11083.088795,,99.075314,626141.013756,0
SHELTER,Q4,10,208768.000000,208768.000000,,565762.947078,,20948.843428,,120.808528,774530.947078,0
SHELTER,Q5,10,205429.000000,205429.000000,,931558.528318,,53443.603579,,435.779715,1136987.528318,0
TRANSPORT_COMMODITIES_EX_MOTOR_FUEL,ALL_CU,15,760787.000000,760787.000000,,,,,,,760787.000000,3
TRANSPORT_COMMODITIES_EX_MOTOR_FUEL,Q1,15,49260.000000,49260.000000,,,,,,,49260.000000,5
TRANSPORT_COMMODITIES_EX_MOTOR_FUEL,Q2,15,84411.000000,84411.000000,,,,,,,84411.000000,6
TRANSPORT_COMMODITIES_EX_MOTOR_FUEL,Q3,15,118479.000000,118479.000000,,,,,,,118479.000000,6
