ucc,label,published_ce_domain,candidate_dmi_node,node_resolution_status,ce_source,all_cu_expenditure,q1_expenditure,q2_expenditure,q3_expenditure,q4_expenditure,q5_expenditure,currently_in_canonical_ledger,omission_classification,concordance_status,requires_scope_adjudication,requires_pumd,requires_new_domain_audit,note
002120,Other non-health insurance,INSPENSN,,NO_CANDIDATE_NONCONSUMPTION,,6115,265,586,995,1191,3078,false,NONCONSUMPTION_OR_SCOPE_REVIEW_REQUIRED,ABSENT_FROM_2024_CONCORDANCE,true,false,false,Inside CE total expenditures and outside household consumption. Whether a consumption price index should weight it is a scope question C3 does not answer.
005420,"Finance, late, and interest charges for credit cards",MISC,OTHER_GOODS_SERVICES,CANDIDATE_FROM_CE_DOMAIN,,52362,4263,7705,11766,13555,15073,false,OUTSIDE_M1_AUDIT_SCOPE,ABSENT_FROM_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
005520,"Finance, late, and interest charges for student loans",EDUCATN,EDUCATION_COMMUNICATION,CANDIDATE_FROM_CE_DOMAIN,,9216,241,224,1218,3810,3723,false,OUTSIDE_M1_AUDIT_SCOPE,ABSENT_FROM_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
005620,"Finance, late, and interest charges for other loans",MISC,OTHER_GOODS_SERVICES,CANDIDATE_FROM_CE_DOMAIN,,5475,236,532,1586,1470,1650,false,OUTSIDE_M1_AUDIT_SCOPE,ABSENT_FROM_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
270310,Cable and satellite television services,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,61648,9301,12990,11922,13399,14035,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
270311,Satellite radio services,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,2690,163,351,462,540,1174,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310140,Televisions,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,12011,1294,1677,2152,2166,4721,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310210,VCR's and video disc players,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,323,22,52,38,109,101,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310220,"Video cassettes, tapes, and discs",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,281,18,63,37,33,130,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310231,Video game software,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,2152,154,354,346,535,763,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310232,Video game hardware and accessories,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,3807,436,541,721,927,1181,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310243,"Rental, streaming, and downloading videos",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,,25118,1822,3164,4787,6486,8859,false,OUTSIDE_M1_AUDIT_SCOPE,ABSENT_FROM_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310312,Phonographs,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,,,,,,,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310314,Personal digital audio players,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,46,23,7,4,3,8,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310315,Digital media players and recorders,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,43,,,31,,12,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310316,"Stereos, radios, speakers, and sound components including those in vehicles",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,1869,100,261,434,450,624,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310331,Miscellaneous sound equipment,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,922,23,206,4,141,548,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310332,Sound equipment accessories,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,4207,286,1861,345,824,890,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310334,Satellite dishes,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,29,2,1,11,11,5,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310335,Miscellaneous video equipment,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,D,2711,80,790,140,380,1322,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310340,"CDs, records, and audio tapes",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,745,15,93,340,103,194,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310350,Streaming and downloading audio,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,4695,314,495,821,1224,1841,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
310400,"Applications, games, and ringtones for handheld devices",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,473,46,58,110,59,201,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
340610,"Repair of televisions, radio, and sound equipment",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,493,16,56,84,230,108,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
340902,Rental of televisions,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,22,,2,8,12,,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
340905,"Rental of VCR, radio, and sound equipment",ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,18,12,,,,6,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360110,Men's suits,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,4451,339,271,432,881,2529,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360120,Men's sportcoats and tailored jackets,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,130,15,7,,24,84,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360210,Men's coats and jackets,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,6180,719,1704,485,857,2415,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360319,"Men's underwear, hosiery, nightwear, and swimwear",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,7174,1023,1023,1053,1580,2496,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360330,Men's accessories,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,6678,776,598,1861,1249,2193,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360420,"Men's shirts, sweaters, and vests",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,13573,1234,1601,2001,3468,5268,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360513,Men's pants and shorts,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,12205,1036,1985,2042,2575,4566,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360901,Men's uniforms,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,99,,60,39,,,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
360902,Men's costumes,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,169,33,,10,77,49,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
