ucc,population,ucc_label,ce_stub_parent,domain_label,provenance_class,source_class,amount_source,pumd_membership,pumd_quantitative_usability,cpi_adjustment_status,concordance_elis,dmi_node,m1_mapping_status,source_amount_millions,source_amount_status,source_amount_rse_pct,source_amount_high_rse_flag,governing_rule_id,governing_registry_artifact_id,rule_type,review_status,canonical_rule_state,ucc_rule_role,proposed_track_a_status,effective_track_a_status,rule_blocker_kind,predecessor_rule_id,pending_rule_effect_on_amount,track_a_disposition,retained_amount,excluded_amount,removed_for_replacement_amount,replacement_amount,transformed_amount,pending_amount,open_amount,withheld_amount,replacement_group_id,replacement_role,normalization_state,note
010119,ALL_CU,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,4181.000000,OBSERVED,5.010000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,4181.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010119,Q1,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,625.000000,OBSERVED,15.550000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,625.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010119,Q2,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,636.000000,OBSERVED,11.470000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,636.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010119,Q3,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,714.000000,OBSERVED,9.270000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,714.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010119,Q4,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,890.000000,OBSERVED,9.610000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,890.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010119,Q5,Flour and prepared flour mixes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA011,FOOD,DIRECT,1317.000000,OBSERVED,8.880000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1317.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,ALL_CU,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,13691.000000,OBSERVED,3.230000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,13691.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,Q1,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,1733.000000,OBSERVED,8.170000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1733.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,Q2,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,2164.000000,OBSERVED,9.110000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2164.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,Q3,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,2451.000000,OBSERVED,5.260000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2451.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,Q4,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,3163.000000,OBSERVED,5.120000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,3163.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010210,Q5,"Cereal, breakfast, and granola bars",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA021,FOOD,DIRECT,4180.000000,OBSERVED,6.850000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,4180.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,ALL_CU,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,6332.000000,OBSERVED,4.300000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,6332.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q1,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,838.000000,OBSERVED,11.890000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,838.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q2,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1141.000000,OBSERVED,11.780000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1141.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q3,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1375.000000,OBSERVED,8.950000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1375.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q4,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1397.000000,OBSERVED,8.450000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1397.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
