ucc,provenance_class,in_published_ce,in_concordance,published_title,concordance_title,elis,dmi_node,ce_source
001000,PUBLISHED_CE_UCC,true,false,"Purchase price of stocks, bonds or mutual funds",,,,
001010,PUBLISHED_CE_UCC,true,false,"Sale price of stocks, bonds, and mutual funds, net",,,,
001210,PUBLISHED_CE_UCC,true,false,Investments to farm or business,,,,
001220,PUBLISHED_CE_UCC,true,false,Assets taken from farm or business,,,,
002010,PUBLISHED_CE_UCC,true,false,Change in savings account,,,,
002020,PUBLISHED_CE_UCC,true,false,Change in checking account,,,,
002030,PUBLISHED_CE_UCC,true,false,Change in U.S. savings bonds,,,,
002120,PUBLISHED_CE_UCC,true,false,Other non-health insurance,,,,
003000,PUBLISHED_CE_UCC,true,false,Change in money owed to consumer unit,,,,
003100,PUBLISHED_CE_UCC,true,false,Change in surrender of insurance policies,,,,
005100,PUBLISHED_CE_UCC,true,false,"Value of savings, checking, money market, and CDs",,,,
005110,PUBLISHED_CE_UCC,true,false,"Value of savings, checking, money market, and CDs one year ago",,,,
005200,PUBLISHED_CE_UCC,true,false,Value of retirement plans,,,,
005210,PUBLISHED_CE_UCC,true,false,Value of retirement plans one year ago,,,,
005300,PUBLISHED_CE_UCC,true,false,Surrender value of whole life insurance policies,,,,
005310,PUBLISHED_CE_UCC,true,false,Surrender value of whole life insurance policies one year ago,,,,
005400,PUBLISHED_CE_UCC,true,false,Amount owed on credit cards,,,,
005410,PUBLISHED_CE_UCC,true,false,Amount owed on credit cards one year ago,,,,
005420,PUBLISHED_CE_UCC,true,false,"Finance, late, and interest charges for credit cards",,,,
005500,PUBLISHED_CE_UCC,true,false,Amount owed on student loans,,,,
005510,PUBLISHED_CE_UCC,true,false,Amount owed on student loans one year ago,,,,
005520,PUBLISHED_CE_UCC,true,false,"Finance, late, and interest charges for student loans",,,,
005600,PUBLISHED_CE_UCC,true,false,Amount owed on other loans,,,,
005610,PUBLISHED_CE_UCC,true,false,Amount owed on other loans one year ago,,,,
005620,PUBLISHED_CE_UCC,true,false,"Finance, late, and interest charges for other loans",,,,
005700,PUBLISHED_CE_UCC,true,false,Value of other financial assets,,,,
005710,PUBLISHED_CE_UCC,true,false,Value of other financial assets one year ago,,,,
005800,PUBLISHED_CE_UCC,true,false,"Value of stocks, bonds, and mutual funds",,,,
