ucc,status,exclusion_reason,provenance_class,ce_source,dmi_node,all_cu_published_mean,magnitude_stratum,annualization_factor
001000,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
001010,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
001210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
001220,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
002010,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
002020,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
002030,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
002120,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,1
003000,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
003100,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
005100,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005200,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005300,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005400,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005410,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005420,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005500,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005510,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005520,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005600,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005610,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005620,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005700,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005710,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
005800,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,4
005810,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,-4
006003,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
006004,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
006005,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
006006,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
006007,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
006008,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
010110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
010119,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,31.0,,
010120,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
010210,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,101.0,,
010310,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,47.0,,
010320,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,61.0,,
020110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
020210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
020219,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,132.0,,
020310,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,88.0,,
020410,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,64.0,,
020510,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,89.0,,
020610,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,53.0,,
020620,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,8.0,,
020710,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,38.0,,
020810,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,46.0,,
020820,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,21.0,,
030110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,153.0,,
030210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030219,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,56.0,,
030310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030410,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030510,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030519,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,151.0,,
030610,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030710,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
030810,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,48.0,,
040110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
040119,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,101.0,,
040210,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,35.0,,
040310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
040319,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,52.0,,
040410,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,72.0,,
040510,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
040610,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
050110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,25.0,,
050210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
050310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
050319,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,104.0,,
050410,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
050419,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,21.0,,
050900,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
060110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
060119,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,214.0,,
060210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
060310,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,54.0,,
070110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
070119,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,106.0,,
070230,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,118.0,,
070240,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
080110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,105.0,,
090110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,141.0,,
090210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
100110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
100119,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,53.0,,
