ucc,population,cell_status,unweighted_record_count,reporting_consumer_units,weighted_population,annual_mean_per_consumer_unit,annual_aggregate_dollars,annual_aggregate_millions,standard_error,relative_standard_error_pct,interval_low,interval_high,replicate_min,replicate_max,replicates_at_zero,high_rse_informational_flag
910104,ALL_CU,ESTIMATED,36740,14296,135760053.150,18369.400682,2493830812994.454590,2493830.812994,238.463398,1.298156,17902.021011,18836.780354,17973.807319,18950.049953,0,false
910104,Q1,ESTIMATED,5007,1961,27075184.406,8798.220486,238213442107.546478,238213.442108,374.684670,4.258642,8063.852028,9532.588944,7645.966753,9706.891347,0,false
910104,Q2,ESTIMATED,6734,2625,27197064.763,12820.827717,348688881734.644165,348688.881735,429.663864,3.351296,11978.702018,13662.953417,12001.910919,13997.942670,0,false
910104,Q3,ESTIMATED,6733,2652,26661996.634,15362.953472,409607013756.152710,409607.013756,447.606804,2.913547,14485.660257,16240.246687,14104.456758,16211.842345,0,false
910104,Q4,ESTIMATED,8164,3151,27208285.015,20793.774645,565762947078.378052,565762.947078,410.342018,1.973389,19989.519068,21598.030222,19893.790526,21578.345083,0,false
910104,Q5,ESTIMATED,10102,3907,27617522.333,33730.706074,931558528317.755127,931558.528318,469.076216,1.390650,32811.333585,34650.078564,33094.701832,35218.415668,0,false
910105,ALL_CU,ESTIMATED,1603,565,135760053.150,685.173959,93019253122.367828,93019.253122,57.137684,8.339150,573.186156,797.161763,538.693620,802.978738,0,false
910105,Q1,ESTIMATED,168,62,27075184.406,200.911243,5439708942.504899,5439.708943,49.804238,24.789174,103.296729,298.525756,98.184998,289.849180,0,false
910105,Q2,ESTIMATED,214,74,27197064.763,397.572687,10812810127.689159,10812.810128,74.280403,18.683477,251.985773,543.159602,268.989938,544.589237,0,false
910105,Q3,ESTIMATED,191,71,26661996.634,367.137688,9788623805.193928,9788.623805,89.752918,24.446664,191.225201,543.050176,130.424571,531.561690,0,false
910105,Q4,ESTIMATED,357,125,27208285.015,731.232515,19895582679.418598,19895.582679,131.568424,17.992693,473.363143,989.101887,466.675092,1121.218766,0,false
910105,Q5,ESTIMATED,673,233,27617522.333,1704.806354,47082527567.561295,47082.527568,217.247855,12.743257,1279.008383,2130.604326,1314.341674,2419.058825,0,false
910106,ALL_CU,ESTIMATED,40,15,135760053.150,4.901820,665471372.043613,665.471372,2.972522,60.641188,-0.924216,10.727856,0.152406,10.956133,0,true
910106,Q1,NO_RECORDS,0,0,27075184.406,,,,,,,,,,,false
910106,Q2,ESTIMATED,3,1,27197064.763,0.360620,9807814.813751,9.807815,0.361978,100.376512,-0.348844,1.070084,0.000000,0.892390,22,true
910106,Q3,ESTIMATED,6,2,26661996.634,3.715975,99075314.035478,99.075314,6.734238,181.223978,-9.482888,16.914839,0.000000,14.772063,11,true
910106,Q4,ESTIMATED,13,5,27208285.015,4.440138,120808527.756652,120.808528,2.830106,63.739159,-1.106769,9.987044,0.000000,11.068415,3,true
910106,Q5,ESTIMATED,18,7,27617522.333,15.779102,435779715.437732,435.779715,11.848929,75.092538,-7.444371,39.002576,0.000000,34.203387,3,true
910107,ALL_CU,ESTIMATED,705,231,135760053.150,67.881253,9215562565.632824,9215.562566,21.578437,31.788507,25.588295,110.174212,23.538469,103.257336,0,true
910107,Q1,ESTIMATED,41,14,27075184.406,7.581467,205269604.608222,205.269605,3.304202,43.582619,1.105350,14.057583,2.061124,13.608543,0,true
910107,Q2,ESTIMATED,64,24,27197064.763,11.085432,301491210.831771,301.491211,5.110933,46.104949,1.068188,21.102676,3.162467,20.965876,0,true
910107,Q3,ESTIMATED,97,33,26661996.634,48.550940,1294464990.298892,1294.464990,39.103132,80.540423,-28.089791,125.191670,3.269034,109.627295,0,true
910107,Q4,ESTIMATED,198,55,27208285.015,38.711030,1053260749.004701,1053.260749,9.916542,25.616838,19.274965,58.147096,16.147528,56.958156,0,true
910107,Q5,ESTIMATED,305,105,27617522.333,230.327541,6361076010.889235,6361.076011,92.741398,40.265006,48.557742,412.097340,55.422660,369.394595,0,true
910050,ALL_CU,ESTIMATED,36748,14299,135760053.150,1554.417207,211027762605.044403,211027.762605,20.291164,1.305387,1514.647257,1594.187156,1515.519213,1600.969987,0,false
910050,Q1,ESTIMATED,5009,1962,27075184.406,753.145757,20391560260.569660,20391.560261,32.491066,4.314047,689.464439,816.827076,655.839273,835.275149,0,false
910050,Q2,ESTIMATED,6734,2625,27197064.763,1089.381561,29627980873.023102,29627.980873,36.061540,3.310276,1018.702241,1160.060881,1013.869916,1183.772363,0,false
910050,Q3,ESTIMATED,6739,2654,26661996.634,1302.955423,34739393101.384483,34739.393101,37.428188,2.872561,1229.597522,1376.313324,1189.083131,1375.931233,0,false
