population,quantity,before,after,change
ALL_CU,e_source,6836520.000000,6836520.000000,0.000000
ALL_CU,e_cpi,8124511.812994,8124511.812994,0.000000
ALL_CU,delta_scope,1287991.812994,1287991.812994,0.000000
ALL_CU,delta_shelter,1601697.812994,1601697.812994,0.000000
ALL_CU,retained,5509878.000000,5509878.000000,0.000000
ALL_CU,accepted_transformed,120803.000000,120803.000000,0.000000
ALL_CU,accepted_out_of_scope,949487.000000,1148566.000000,199079.000000
ALL_CU,pending_proposed,245401.000000,46322.000000,-199079.000000
ALL_CU,unresolved_open,10951.000000,10951.000000,0.000000
ALL_CU,rental_equivalence_introduced,2493830.812994,2493830.812994,0.000000
ALL_CU,owner_outlays_removed,892133.000000,892133.000000,0.000000
ALL_CU,secondary_residence_outlays_removed_without_replacement,25547.000000,25547.000000,0.000000
Q1,e_source,688872.000000,688872.000000,0.000000
Q1,e_cpi,854361.442108,854361.442108,0.000000
Q1,delta_scope,165489.442108,165489.442108,0.000000
Q1,delta_shelter,188953.442108,188953.442108,0.000000
Q1,retained,608613.000000,608613.000000,0.000000
Q1,accepted_transformed,7535.000000,7535.000000,0.000000
Q1,accepted_out_of_scope,52096.000000,65580.000000,13484.000000
Q1,pending_proposed,19806.000000,6322.000000,-13484.000000
Q1,unresolved_open,822.000000,822.000000,0.000000
Q1,rental_equivalence_introduced,238213.442108,238213.442108,0.000000
Q1,owner_outlays_removed,49260.000000,49260.000000,0.000000
Q1,secondary_residence_outlays_removed_without_replacement,1122.000000,1122.000000,0.000000
Q2,e_source,959951.000000,959951.000000,0.000000
Q2,e_cpi,1182887.881735,1182887.881735,0.000000
Q2,delta_scope,222936.881735,222936.881735,0.000000
Q2,delta_shelter,264518.881735,264518.881735,0.000000
Q2,retained,822976.000000,822976.000000,0.000000
Q2,accepted_transformed,11223.000000,11223.000000,0.000000
Q2,accepted_out_of_scope,90773.000000,116478.000000,25705.000000
Q2,pending_proposed,33787.000000,8082.000000,-25705.000000
Q2,unresolved_open,1192.000000,1192.000000,0.000000
Q2,rental_equivalence_introduced,348688.881735,348688.881735,0.000000
Q2,owner_outlays_removed,84170.000000,84170.000000,0.000000
Q2,secondary_residence_outlays_removed_without_replacement,2325.000000,2325.000000,0.000000
Q3,e_source,1223874.000000,1223874.000000,0.000000
Q3,e_cpi,1438790.013756,1438790.013756,0.000000
Q3,delta_scope,214916.013756,214916.013756,0.000000
Q3,delta_shelter,277025.013756,277025.013756,0.000000
Q3,retained,1010302.000000,1010302.000000,0.000000
Q3,accepted_transformed,18881.000000,18881.000000,0.000000
Q3,accepted_out_of_scope,142855.000000,184964.000000,42109.000000
Q3,pending_proposed,50017.000000,7908.000000,-42109.000000
Q3,unresolved_open,1819.000000,1819.000000,0.000000
Q3,rental_equivalence_introduced,409607.013756,409607.013756,0.000000
Q3,owner_outlays_removed,132582.000000,132582.000000,0.000000
Q3,secondary_residence_outlays_removed_without_replacement,2599.000000,2599.000000,0.000000
Q4,e_source,1572916.000000,1572916.000000,0.000000
Q4,e_cpi,1857768.947078,1857768.947078,0.000000
Q4,delta_scope,284852.947078,284852.947078,0.000000
Q4,delta_shelter,354182.947078,354182.947078,0.000000
Q4,retained,1262320.000000,1262320.000000,0.000000
Q4,accepted_transformed,29686.000000,29686.000000,0.000000
Q4,accepted_out_of_scope,228848.000000,265907.000000,37059.000000
Q4,pending_proposed,49295.000000,12236.000000,-37059.000000
Q4,unresolved_open,2767.000000,2767.000000,0.000000
Q4,rental_equivalence_introduced,565762.947078,565762.947078,0.000000
Q4,owner_outlays_removed,211580.000000,211580.000000,0.000000
Q4,secondary_residence_outlays_removed_without_replacement,4938.000000,4938.000000,0.000000
Q5,e_source,2390913.000000,2390913.000000,0.000000
Q5,e_cpi,2790707.528318,2790707.528318,0.000000
Q5,delta_scope,399794.528318,399794.528318,0.000000
Q5,delta_shelter,517018.528318,517018.528318,0.000000
Q5,retained,1805671.000000,1805671.000000,0.000000
Q5,accepted_transformed,53478.000000,53478.000000,0.000000
Q5,accepted_out_of_scope,434914.000000,515637.000000,80723.000000
Q5,pending_proposed,92499.000000,11776.000000,-80723.000000
Q5,unresolved_open,4351.000000,4351.000000,0.000000
Q5,rental_equivalence_introduced,931558.528318,931558.528318,0.000000
Q5,owner_outlays_removed,414540.000000,414540.000000,0.000000
Q5,secondary_residence_outlays_removed_without_replacement,14563.000000,14563.000000,0.000000
