eli	eli_name	bls_major_group	definition	source_code_as_published
AA011	Men's suits	Apparel	All types and styles of men's suits and formal wear sold in men's sizes (that is, 36 and above, in short, regular, tall or long, as well as big, extra tall, and extra-long). A suit includes a jacket and pair of pants. A vest and/or a second pair of pants may also be included.	
AA012	Men's sport coats and tailored jackets	Apparel	All types and styles of men's sport coats, blazers, and other tailored jackets sold in men’s sizes.	
AA013	Men's outerwear	Apparel	All types and styles of men's outerwear intended to be worn outdoors in men's sizes.	
AA021	Men's underwear, hosiery, nightwear and swimwear	Apparel	All types and styles of men’s underwear, hosiery, nightwear, loungewear, and swimwear in men’s sizes.	
AA022	Men’s accessories	Apparel	All types of men’s accessories in the categories of sunglasses, hats and caps, gloves and mittens, wallets and other small money holders, handkerchiefs, belts and suspenders, ties, and umbrellas sold in men’s sizes or for use by men.	
AA023	Men’s active sportswear	Apparel	All types and styles of men’s exercise and active sportswear including swimsuits, swim cover-ups, sweatshirts, sweatpants, yoga pants, sport-specific apparel (such as bike shorts, tennis shorts, hiking pants, and exercise suits), ski/snow pants, ski/snow suits, sports jerseys, and pants and jackets for warm-up, jogging, running, or exercise activities. Individually priced activewear items and sets of up to three items with a single price tag are eligible. For a set to be eligible in this category, the items in the set cannot be separated and paid for individually; the pieces are sold together as a unit having only one price tag. This ELI was no longer included in new samples beginning in 2016. These items are now included in ELIs AA013, AA021, AA033, and AA041.	
AA033	Men’s tops	Apparel	All types and styles of cardigan and pullover sweaters, cardigan and pullover sweater vests, dress shirts, sport shirts, work shirts, pullovers, woven vests sold as separates, exercise/activewear tops, sweatshirts, and sports jerseys in men's sizes.	
AA041	Men's pants and shorts	Apparel	All types and styles of pants including dress pants, casual pants, jeans, denim pants, overalls, sweatpants, and activewear pants as well as all varieties of shorts in men's sizes. Unisex items are also eligible.	
AB011	Boys’ outerwear	Apparel	All types and styles of boys’ coats, jackets, and vests to be worn outdoors sold in preschool and boys’ sizes.	
AB012	Boys' shirts and sweaters	Apparel	All types and styles of cardigan and pullover sweaters, cardigan and pullover sweater vests, dress shirts, sport shirts, work shirts, pullovers, exercise/activewear tops, sweatshirts, and sports jerseys in preschool and grade school boys' sizes.	
AB013	Boys’ underwear, nightwear, hosiery, accessories, and swimwear	Apparel	Most types and styles of underwear, sleepwear, hosiery, swimwear, and apparel-related accessories in the categories of legwear, hats, head wraps and covers, hand and arm coverings, wallets and other small money holders, and sunglasses in preschool and grade school boys' sizes, including unisex-designated items, or for use by boys in these age groups.	
AB014	Boys' suits, sport coats, and pants	Apparel	All types and styles of suits, tailored jackets, vests, dress and casual pants (including slacks, jeans, denim pants, overalls, sweatpants, and warm-up pants), and all varieties of shorts in preschool and grade school boys' sizes. A suit includes a jacket and pair of pants or shorts. Three-piece suits which include a vest if it's sold as a unit with one price tag.	
AB015	Boys’ active sportswear	Apparel	All types and styles of boys’ exercise and active sportswear including swimsuits, swim cover-ups, sweatshirts, sweatpants, yoga pants, sport-specific apparel (such as bike shorts, tennis shorts, hiking pants, and exercise suits), ski/snow pants, ski/snow suits, sports jerseys, and pants and jackets for warm-up, jogging, running, or exercise activities sold in preschool, grade school, and preteen boys’ sizes. This ELI was no longer included in new samples beginning in 2016. These items are now included in ELIs AB011, AB012, AB013, and AB014.	
AC011	Women's outerwear	Apparel	All types and styles of women’s coats, jackets, and vests to be worn outdoors in juniors, petites, misses, women’s plus, and maternity sizes.	
AC021	Women’s dresses	Apparel	All types and styles of dresses, jumpsuits, and rompers, such as daytime, business, semi-formal, formal, bridal party, and bridal dresses for women in adult sizes. Dress and jacket combinations sold as one unit are included in this category.	
AC031	Women's tops	Apparel	All types and styles of unstructured and tailored jackets/blazers, cardigan and pullover sweaters, cardigan and pullover sweater vests, shrugs, shirts, blouses, woven vests, one-piece leotards and bodysuits, exercise/activewear tops, sweatshirts, and sports jerseys in juniors, misses, petites, women's plus, and maternity sizes.	
AC032	Women's skirts, pants, and shorts	Apparel	All varieties and styles of dress and casual skirts (including skorts), pants (including slacks, chinos, jeans, sweatpants, joggers, leggings and yoga pants), and shorts (including Bermuda shorts, bike, and running shorts) in misses, petites, women's plus, juniors, and maternity sizes.	
AC033	Women's suits and suit coordinates	Apparel	All types and styles of women’s suits including skirt suits and pant suits. Suits must consist of a jacket paired with a skirt and/or pants. Suits sold with additional items such as a blouse, sweater, scarf, etc., are eligible for pricing. Both combinations of two or three pieces sold as one unit with one price tag, and combinations where the pieces are sold individually (coordinating suit components) are included in this category.	
AC041	Women's undergarments, nightwear, shapewear, and swimwear	Apparel	All types, styles, and sizes of underwear, nightwear, shapewear, and swimwear in women's sizes. Some of the specific items priced in this ELI include body briefers, bustiers, camisoles, capri legging shapers, chemises, control/shapewear panties, corselets, corsets, everyday bras, housecoats/dusters, long leg panty shapers, long line bras, nightgowns/nightshirts, nursing bras, one-piece pajamas/sleepers, pajama bottoms, panties, two-piece pajama sets, robes, slips, sports bras, swimsuits, torsettes, and waist cinchers.	
AC042	Women’s hosiery and accessories	Apparel	All types and styles of women’s apparel-related accessories in the categories of legwear, purses and similar bags, scarves, wraps, hand and arm coverings, wallets and other small money holders, hats, head wraps and covers, belts, umbrellas, and sunglasses, pantyhose, tights, socks, legwarmers, shoulder bags, handbags, clutches, bandanas, shawls, mufflers, neck warmers, gloves, mittens, driving gloves, gardening gloves, glove liners, arm warmers, billfolds and trifolds, ID and card cases, coin purses, visors, ear/headband wrap coverings, ear muffs, rain bonnets, parasols, non-prescription eyewear.	
AC043	Women's active sportswear	Apparel	All types and styles of women's exercise and active sportswear including swimsuits, swim cover-ups, sweatshirts, sweatpants, yoga pants, sport-specific apparel (such as bike shorts, tennis dresses, hiking pants, and dance outfits), ski/snow pants, ski/snow suits, sports jerseys, one- and two-piece leotards, unitards, and pants and jackets for warm-up, jogging, running, or exercise activities. This ELI was no longer included in new samples beginning in 2016. These items are now included in ELIs AC011, AC021, AC031, AC032, and AC041.	
AD011	Girls’ outerwear	Apparel	All types and styles of girls’ coats, jackets, and vests intended to be worn outdoors in preschool and girls’ sizes.	
AD012	Girls' dresses	Apparel	All types and styles of dresses, jumpers, jumpsuits, and rompers in preschool and grade-school girl sizes. Dress and jacket or dress and leggings combinations sold as one unit with one price tag are included.	
AD013	Girls' tops	Apparel	All types and styles of cardigan and pullover sweaters, cardigan and pullover sweater vests, shrugs, shirts, blouses, woven vests, one-piece leotards and bodysuits, exercise/activewear tops, sweatshirts, and sports jerseys in preschool and grade school girls' sizes.	
AD014	Girls’ skirts, pants, and shorts	Apparel	All types and styles of pants and skirts such as such as slacks, jeans, leggings, pant sets, overalls, shorts, shorts sets, shortalls, ski pants, casual and dress skirts, skorts/scooters, and sweatpants sold in preschool, grade school, and preteen girls’ sizes.	
AD015	Girls' active sportswear	Apparel	All types and styles of girls' exercise and active sportswear including swimsuits, swim cover-ups, sweatshirts, sweatpants, yoga pants, sport-specific apparel (such as bike shorts, tennis dresses, and dance outfits), ski/snow pants, ski/snow suits, sports jerseys, one- and two-piece leotards, unitards, and pants and jackets for warm-up, jogging, running, or exercise activities sold in preschool, grade school, and preteen girls' sizes. In both clusters, girls' active sportswear items can be priced either as a single item or as a set consisting of up to three pieces sold together as a unit having only one price tag. This ELI was no longer included in new samples beginning in 2016. These items are now included in ELIs AD011, AD012, AD013, AD014, and AD016.	
AD016	Girls’ underwear, nightwear, hosiery, accessories, and swimwear	Apparel	All types and styles of girls' underwear, sleepwear, and apparel-related accessories in the categories of legwear, hats, head wraps and covers, hand and arm coverings, purses and similar bags, wallets and other small money holders, sunglasses, and swimsuits sold in preschool and grade school sizes, including unisex-designated items, for the use of girls in these age groups.	
AE011	Men's footwear	Apparel	All types and styles of men's casual or dress shoes, boots, sandals, athletic shoes, waterproof footwear, and house slippers sold in men's size ranges.	
AE021	Boys’ footwear	Apparel	All types and styles of boys’ shoes, boots, sandals, athletic shoes (including specialized athletic footwear), and house slippers sold in boys’ size ranges.	
AE022	Girls’ footwear	Apparel	All types and styles of girls’ shoes, boots, sandals, athletic shoes (including specialized athletic footwear), and house slippers sold in girls’ size ranges.	
AE031	Women's footwear	Apparel	All types and styles of women's casual or dress shoes, boots, sandals, athletic shoes, waterproof footwear, and house slippers sold in women's size ranges.	
AF011	Infants' & toddlers' outer/play/dress/sleep wear & accessories	Apparel	All types and styles of coats, coat sets, jackets, snowsuits, buntings, pramsuits, rompers, sweaters, pants, tops, sunsuits, playsuits, coveralls, dresses, skirts, sleepers, pajamas, gowns, sleeping bags, and accessories sold in infants' and toddlers' sizes.	
AF012	Infants’ & toddlers’ underwear & diapers	Apparel	All types of disposable and cloth diapers, diaper liners, undershirts, slips, and underpants sold in infants’ and toddlers’ sizes including waterproof and training varieties.	
AG011	Watches	Apparel	All types and styles of wrist watches, pocket watches, and other types of watches meant to be worn on the body (i.e. ring watches) for men, women, and children.	
AG021	Jewelry	Apparel	All types and styles of fine and fashion jewelry for men, women, and children are eligible for pricing.	
EA011	Educational Books	Education and communication	Any new book which is intended for use as an aid for education at all levels of education from elementary to college and post-graduate level. Books may be bound or unbound and can be purchased at a bookstore, over the Internet, through mail-order, or by electronically downloading their content from the Internet (E-Books). Books may be rented or purchased.	
EA012	Elementary/high school textbooks	Education and communication	Any new book which is intended for use as an aid to further learning at an elementary or high school level. Books may be bound (data copied on papers surrounded with hard or soft cover) purchased at a bookstore, over the Internet, or through mail-order. Books purchased by downloading their content from the Internet (E-Books) are eligible. If a book is only sold as part of a full grade-level set, the entire book set is eligible. Books/sets of books used in home-schooling are also eligible. NOTE: BLS is discontinuing the EA012 ELI and merging it in to EA011. No new quotes will be initiated in this ELI following the August 2024 initiation cycle. All currently priced EA012 quotes will rotate out of the index by the middle of 2029.	
EA013	Encyclopedias and other sets of reference books	Education and communication	All sets of encyclopedias and reference books, regardless of whether the data is stored on bound books or electronic media	
EB011	College tuition and fixed fees	Education and communication	Includes all tuition and fixed fees charged by colleges and universities. Only undergraduate and graduate degrees awarded at degree-conferring institutions are eligible for pricing. Includes both full tuition payment and tuition payment reduced by financial aid.	
EB021	Elementary and high school tuition and fixed fees	Education and communication	All tuition and fixed fees charged by private elementary schools and high schools (kindergarten – grade 12). Boarding schools (a school where students reside during the semester) are eligible for pricing.	
EB031	Day care and preschool	Education and communication	Includes charges for the care of pre-elementary school children, including pre-kindergarten educational programs and co-operative schools. Individuals whose occupation is to regularly care for pre-elementary school children are included.	
EB041	Technical and vocational school tuition and fixed fees	Education and communication	Includes all tuition and fixed fees charged by non-degree granting institutions such as business, secretarial, technical, vocational, or trade schools. Tuition and fixed fees for non-degree programs offered at colleges and universities are also eligible. Only non-transferrable Associate degrees and non-degrees such as certificates and diplomas are eligible for pricing under this ELI. For Associate degrees, only occupational/technical Associate degrees designed to help students prepare for a particular career path are eligible for pricing. Programs may be taken at the physical school, through the mail (correspondence courses) or online. Students do not have to physically attend classes in the selected school's facilities.	
EC011	Postage	Education and communication	Includes the postage service provided by the United States Postal Service. The following items are the only items eligible for pricing: First Class Card Postage, First Class Letter Postage, Express and Priority Mail, and Package Postage.	
EC021	Delivery services	Education and communication	Includes fees for delivery of items such as letters, documents, and packages at non-US Postal Services facilities.	
ED031	Wireless phone service	Education and communication	Personal wireless/cellular telephone service where the telephone instrument is portable and sends/receives signals for calls through the air waves. This includes both postpaid (monthly) plans and prepaid plans. All service charges, applicable per-plan charges or per-minute call charges, and other charges normally included in a cellular plan are eligible for pricing.	
ED041	Residential telephone services	Education and communication	Standalone residential telephone service plans and bundled package plans that include residential telephone service and one or both of the following: cable, satellite, or other residential television (TV) service and/or internet service. All types of residential telephone services, including residential VoIP (Voice over Internet Protocol). All applicable service charges, per-plan charges, other charges normally listed as part of a selected landline local and/or toll plan, or individual charges for telephone, television, and/or internet segments of the plan are eligible for pricing. NOTE: BLS is transitioning away from pricing bundled packages of telecommunications services. No new quotes of residential telephone, residential internet, and/or residential TV services bundled together will be initiated following the February 2024 initiation cycle. All currently priced bundled services will rotate out of the index by late 2028.	
EE011	Computers, peripherals, and smart home assistants	Education and communication	Includes all types of personal computers including handheld computers, computer hardware, and peripheral equipment sold for noncommercial applications. Smart home assistants with Bluetooth speakers, and or screens are also included.	
EE021	Computer software and blank media	Education and communication	"Software on media, such as discs, CDs, DVDs, or downloadable software. This ELI includes ""Apps"" purchased directly from cell phones or online ""app"" stores. Blank media (storage) includes blank DVDs or CDs and flash drives. Older recordable media types such as VHS video tapes or mini DVDs are also included here"	
EE031	Internet access and other information services	Education and communication	Includes subscriber fees for residential internet access, other online services such as Webhosting, domain names, and file hosting for non-business use; residential telephone and TV services bundled with residential internet service; mobile internet access (in the home and outside the home). Other monthly subscriber fees are included as well. Examples of monthly subscriber fees include, but are not limited to base plan prices, internet rental equipment, internet service fees, installation and activation fees, and other associated taxes/fees. NOTE: BLS is transitioning away from pricing bundled packages of telecommunications services. No new quotes of residential telephone, residential internet, and/or residential TV services bundled together will be initiated following the February 2024 initiation cycle. All currently priced bundled services will rotate out of the index by late 2028.	
