ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
010119	FA011	Flour And Prepared Flour Mixes	Flour And Prepared Flour Mixes	D	false
010210	FA021	Cereal, Breakfast, & Granola Bars	Breakfast Cereal & Cereal Bars	D	false
010310	FA031	Rice	Rice, Pasta, Cornmeal	D	false
010320	FA031	Pasta Cornmeal Oth Cereal Prods	Rice, Pasta, Cornmeal	D	false
020219	FB011	Bread	Bread	D	false
020310	FB021	Fresh Biscuits, Rolls, Muffins	Fresh Biscuits, Rolls, And Muffins	D	false
020410	FB031	Cakes And Cupcakes	Cakes And Cupcakes (Excluding Frozen)	D	false
020510	FB032	Cookies	Cookies	D	false
020610	FB041	Crackers	Crackers And Bread & Cracker Products	D	false
020620	FB041	Bread And Cracker Products	Crackers And Bread & Cracker Products	D	false
020710	FB042	Doughnuts,Sweetrolls,Coffecake	Sweet Rolls, Coffee Cake And Doughnuts(Excluding Frozen)	D	false
020810	FB043	Frozen & Refrig. Bakery Prod.	Frozen Bakery Products And Frozen/Refrig Doughs And Batters	D	false
020820	FB044	Fresh Pies, Tarts, Turnovers	Pies, Tarts, Turnovers (Excluding Frozen)	D	false
030110	FC011	Ground Beef Exclude Canned	Uncooked Ground Beef	D	false
030219	FC021	Uncooked Beef Roasts	Uncooked Beef Roasts	D	false
030519	FC031	Uncooked Beef Steaks	Uncooked Beef Steaks	D	false
030810	FC041	Other Beef (Exclude Canned)	Uncooked Other Beef And Veal	D	false
040119	FD011	Bacon, Breakfast Sausage And Rela	Bacon, Breakfast Sausage And Related Products	D	false
040210	FD031	Pork Chops	Pork Chops	D	false
040319	FD021	Ham	Ham	D	false
040410	FD041	Other Pork	Other Pork Including Roasts, Steaks, And Ribs	D	false
050110	FE011	Frankfurters	Frankfurters	D	false
050319	FE012	Lunchmeats	Lunchmeats	D	false
050419	FE013	Lamb, Organ Meats, And Game	Lamb, Organ Meats, And Game	D	false
060119	FF011	Chicken	Chicken	D	false
060310	FF021	Other Poultry	Turkey and other poultry	D	false
070119	FG021	Processed Fish And Seafood	Processed Fish And Seafood	D	false
070230	FG011	Fresh Fish & Shellfish	Fresh Fish And Seafood	D	false
080110	FH011	Eggs	Eggs	D	false
090110	FJ011	Fresh Milk All Types	Milk	D	false
100119	FS011	Butter And Margarine	Butter And Margarine	D	false
100210	FJ021	Cheese	Cheese And Cheese Products	D	false
100410	FJ031	Ice Cream And Related Products	Ice Cream And Related Products	D	false
100519	FJ041	Other Dairy And Related Products	Other Dairy And Related Products	D	false
110110	FK011	Apples	Apples	D	false
110210	FK021	Bananas	Bananas	D	false
110319	FK031	Citrus Fruits	Citrus Fruits	D	false
